mp_id,icsd_ids,composition,general_synth_score,ss_synth_score,synthesized,ss_synthesized,reference,comment
mp-1212757,[],EuCoO3,0.518626768,0.628321976,y,y,10.1016/j.physb.2018.10.036,
mp-1212841,[],Dy3SbO7,0.525218367,0.628229383,y,y,10.1139/p01-106,
mp-1232326,[],La2AuO4,0.574407988,0.62713613,n,n,,
mp-690511,[],K10Co4O9,0.531944795,0.624945571,y,n,10.1002/zaac.19936191102,reaction with wall
mp-767269,[],Ga7(Fe3O8)3,0.72493664,0.624396694,n,n,,
mvc-9652,[],Pr(MoO3)2,0.764447525,0.622912289,n,n,,
mp-1207892,[],V3Cd5O12,0.585301929,0.617285993,n,n,,
mp-34842,[],Na3UO4,0.522124787,0.615478754,y,y,10.1021/acs.inorgchem.5b00136,
mp-1209622,[],PuAsO4,0.567799518,0.614931273,y,n,10.1016/0022-1902(65)80087-2,coprecipitation
mvc-16279,[],Y(FeO2)3,0.56483069,0.613667841,n,n,,
mp-1185561,[],CsSbO3,0.574263083,0.613557929,n,n,10.1016/j.solidstatesciences.2006.05.017,the paper discredit previous synthesis of CsSbO3
mp-753783,[],Li5InO4,0.518577644,0.613509013,n,n,,
mp-1008813,[188533],RbAgO,0.996943535,0.612366543,y,n,10.1002/zaac.19855240502,reaction with wall
mp-781609,[],Ho3Fe5O12,0.503210543,0.609246135,y,y,10.1007/s10853-011-5254-9,
mp-768241,[],Dy2Ge2O7,0.512332108,0.609243601,y,y,10.1103/PhysRevB.78.104411,
mp-1103058,[181904],Rb8AsO3,0.694173205,0.609044806,n,n,,
mp-1213281,[],Eu2MoO6,0.496246977,0.606829551,y,y,10.1016/0022-4596(72)90027-8,
mvc-1112,[],Ba2Co3O8,0.600300893,0.604751257,n,n,,
mp-1207725,[],TmMn2O5,0.498444566,0.604383764,y,y,10.1038/srep34767,
mp-772408,[],Ba4Tm6O13,0.524044086,0.604067154,n,n,,
mp-772980,[],Li6Te2O9,0.513754701,0.602873213,n,n,,
mp-781595,[],CoTe2O5,0.522384423,0.602644805,n,n,,
mp-1208209,[],Tm3Fe5O12,0.523635044,0.601445563,y,n,10.1016/j.jmmm.2016.09.041,sol gel
mp-1021659,[],K2CuO2,0.514075795,0.600610287,?,?,"https://www.proquest.com/docview/304271568?pq-origsite=gscholar&fromopenview=true, http://www.irphouse.com/ijpa/IJPAv3n2__7.pdf","a thesis and a paper was found that claimed to have synthesized K2CuO2, but the former did not specify whether it is the nominal composition (since it was used as a precursor), whereas the latter only mentioned the formation was confirmed by XRD without including the reference pattern number or XRD figure"
mp-756591,[],Sm3NbO7,0.508281236,0.599717099,y,y,10.1111/j.1151-2916.1964.tb15663.x,
mp-1210936,[],Lu2Fe3O7,0.507768246,0.598844191,y,y,10.1016/0038-1098(74)90050-7,
mp-1223121,[],La2SbO2,0.783273478,0.59860172,y,y,10.1021/ja209652d,
mp-705834,[],BaFe15O23,0.49943252,0.596633229,y,y,10.2497/jjspm.37.1193,
mp-756122,[],Cs3TlO3,0.504776162,0.596489532,n,n,,
mp-776763,[],Ti3(WO6)2,0.613308697,0.596318142,n,n,,
mvc-5219,[],Ca2CrO5,0.531748914,0.596034034,n,n,,
mp-1209740,[],Pr2MoO6,0.507378006,0.595027046,y,y,10.1107/S2052520620005740,
mp-1101401,[],RbPrO2,0.489813418,0.593766603,n,n,,
mp-531715,[],Fe5(BiO4)3,0.480565753,0.59183921,y,n,10.1109/TJMJ.1990.4564415,sputtering
mp-1247867,[],Ba11W4O23,0.493597111,0.591573923,y,y,10.1016/j.jssc.2007.08.027,
mvc-15446,[],Y(CoO2)2,0.553537712,0.590925362,n,n,,
mp-674522,[],K6U4O15,0.496319029,0.588145597,n,n,,
mp-863399,[],V18Cu20O57,0.573588398,0.585884039,n,n,,closest stoichiometry is Cu6.78V6O18.78 on ICSD
mp-1217808,[],V30Cu34O95,0.566378753,0.583476629,n,n,,closest stoichiometry is Cu6.78V6O18.78 on ICSD
mp-772840,[],Sm2Ge2O7,0.502981035,0.583227669,y,y,10.1134/S0020168518020048,
mp-867920,[],K2Rh2O5,0.526454616,0.583226278,n,n,,
mp-1187578,[],YbNbO3,0.597431607,0.582945994,n,n,,
mp-768716,[],Rb17Fe5O16,0.498047369,0.581298319,n,n,,
mp-675724,[],BiTeO4,0.486552442,0.580677,n,n,,
mp-755293,[],Sr4Sb2O,0.520294774,0.580024603,?,?,10.1002/zaac.202100363,ref 3 is a paper on Sr2Sb. No other source was provided for the correction from Sr2Sb to Sr4Sb2O
mp-1102981,[181905],Rb8SbO3,0.661191473,0.577317949,n,n,,
mp-769409,[],Y4Ga2O9,0.481694973,0.576346263,y,y,10.1134/S0036023609040202,
mp-685242,[],Sr7Al12O25,0.493205776,0.575783165,y,n,10.1143/JJAP.49.122601,precursor method
mp-771208,[],Ba5(Ga3O7)2,0.509150276,0.575493211,n,n,,
mp-1200170,[],Ba5Cr3O13,0.490631298,0.575125938,n,n,,
mp-561221,[155505],TlCr3O8,0.608593012,0.574154153,n,n,,
mp-28779,[],USbO5,0.516976504,0.573619363,y,y,10.1111/j.1151-2916.1970.tb12670.x,
mp-1208748,[],Sr4Zr3O10,0.490724878,0.573498527,y,y,10.1016/0167-2738(92)90254-M,
mp-756935,[],Li3SbO3,0.494952646,0.572589024,n,n,,
mp-554545,[161105],Bi2Os2O7,0.653746873,0.570672161,n,n,,
mp-1209712,[],Pr5Ge3O13,0.495146889,0.570345627,n,n,,
mp-1096930,[],Cu(AgO)2,0.509801571,0.570328133,n,n,,
mp-1210129,[],NdMn7O12,0.493009204,0.569851399,y,y,10.1103/PhysRevB.98.104423,
mp-1187759,[],Y2Co2O5,0.639070885,0.566480831,n,n,,
mp-685257,[],CdPbO3,0.539197771,0.565789847,y,y,10.1088/1742-6596/215/1/012131,
mp-756724,[],Lu2Nb2O7,0.502019965,0.565309522,?,?,10.1143/JPSJ.73.2829,paper mentioned the use of Lu2Nb2O7 specific heat data but no source was given
mp-772864,[],Rb2Ge2O5,0.59231818,0.563499282,n,n,,
mp-1228222,[],Ba4In2O7,0.488238912,0.562418373,y,y,10.1016/S0925-8388(03)00299-8,
