system,mp_id,icsd_ids,composition,e_above_hull,Spacegroup Number,solid_state_synthesized_composition,solid_state_synthesized_structure,sss_highest_temperature(K),sss_pressure(GPa),sss_atmosphere,sss_mixing_condition,sss_cooling_condition,sss_heating_step,single_crystal,sss_precursor,other_synthesis_method,reference,reference_year,comment,google_translate
Ag-Sb-O,mp-545999,[245292],AgSbO3,0,R-3,y,n,,,,{},{},,,"NaSbO3, AgNO3",ion exchange,10.1016/j.solidstatesciences.2006.05.017,2006,,FALSE
Ag-Sb-O,mp-540872,"[25541, 165169, 250794]",AgSbO3,0.00691399,Fd-3m,y,y,1173,AP,,{},{},1,,"Ag2O, Sb2O5",,10.1016/j.cattod.2007.10.094,2007,excess Ag2O,FALSE
Ag-Se-O,mp-16913,[78388],Ag2SeO3,0,P2_1/c,n,n,,,,{},{},,,"AgNO3, H2SeO3",hydrothermal,10.3891/acta.chem.scand.48-0857,1994,a bit questionable,FALSE
Ag-Se-O,mp-11641,[413089],Ag2SeO4,0,Fddd,n,n,,,,{},{},,,"AgNO3, H2SeO3",gel,10.1016/0022-0248(79)90216-1,1979,,FALSE
Ag-Sn-O,mp-680202,[89838],Ag2SnO3,0.012321272,P2_12_12_1,y,y,703,0.035,O2,{},{},1,,"Ag2O, K2Sn(OH)6",,10.1107/S0108768199013695,1999,,FALSE
Ag-Te-O,mp-13211,[416281],Ag2Te2O7,0.001561638,Imma,y,y,773,0.5,O2,{},{},1,y,"Ag2O, TeO2, H2O",,10.1002/zaac.200600091,2006,water as mineralizer,TRUE
Ag-Te-O,mp-561380,[415473],Ag2Te4O11,0.014908316,P-1,y,y,723,0.1,O2,{},{},1,y,"Ag2O, TeO2, H2O",,10.1002/zaac.200500247,2005,water as mineralizer,TRUE
Ag-Te-O,mp-18068,[100694],Ag2TeO3,0.047401908,P2_1/c,n,n,,,,{},{},,,"AgNO3, K2TeO3",ion exchange,10.1016/0025-5408(80)90048-3,1980,a bit questionable,TRUE
Ag-Te-O,mp-558768,[414464],Ag2TeO4,0,C2/c,y,y,793,0.025,O2,{},{},1,y,"Ag2O, TeO2, H2O",,10.1002/zaac.200400457,2005,water as mineralizer,TRUE
Ag-Te-O,mp-554357,[417353],Ag4TeO5,0,C2/c,n,n,,,,{},{},,,"Ag2O, Hg, H6TeO6",hydrothermal,10.1002/zaac.200700106,2006,,FALSE
Ag-Te-O,mp-559257,[417354],AgTeO3,0,P2_1/c,y,n,,,,{},{},,,"AgNO3, Hg2(NO3)2, H6TeO6",hydrothermal,10.1002/zaac.200700106,2006,inhomogeneous; other phase of mp-558637,FALSE
Ag-Te-O,mp-558637,[415471],AgTeO3,0.02045188,P2_1/c,y,y,653,0.05,O2,{},{},1,y,"Ag2O, TeO2, H2O",,10.1002/zaac.200500247,2005,water as mineralizer,TRUE
Ag-Te-O,mp-561489,[415472],AgTeO3,0.02011301,P2_1/m,y,?,,,,{},{},,,,,10.1002/zaac.200500247,2005,uncertain phase percentage; other phase of mp-558637,FALSE
Ag-W-O,mp-32537,[31028],Ag2W2O7,0.028462671,P-1,y,y,923,AP,,"{""step1"": {""grind method"": [""ball milling""], ""wet/dry"": [], ""liquid"": [""ethanol""]}}",{},1,,"Ag2O, MoO3",,10.1111/j.1551-2916.2010.03972.x,2010,,FALSE
Ag-W-O,mp-637188,"[248971, 4165, 248970]",Ag2WO4,0.038085388,Pnn2,y,y,773,AP,,{},{},1,,"Ag2O, WO3",,10.1039/B504818D,2005,,FALSE
Al-Ag-O,mp-9631,"[300020, 95662]",AlAgO2,0,P6_3/mmc,y,y,,,,{},{},,,"Ag2O, Al2O3",,10.1016/j.jssc.2003.09.036,2004,alpha phase; from introduction,FALSE
Al-Ag-O,mp-11794,"[160643, 99688]",AlAgO2,0.064374046,Pna2_1,y,n,483,AP,,{},{},1,,"NaAlO2, AgNO3, KNO3",ion exchange,10.1016/j.jssc.2003.09.036,2003,beta phase; other phase of mp-9631,FALSE
Al-As-O,mp-1193623,[76972],Al4As3O23,0.673087866,P-43m,?,?,,,,{},{},,,,,,,ICSD 76972 contain hydrogen,N/A
Al-As-O,mp-7849,[24512],AlAsO4,0,I-4,n,n,,,,{},{},,,,precipitation,"Gazzetta Chimica Italiana 64, 653 (1934)",1934,might be other phase of mp-5189,TRUE
Al-As-O,mp-5189,"[33834, 67228, 33836, 33832, 67230, 33254, 33835, 201774, 33833, 33255, 67229, 29211]",AlAsO4,0.005157874,P3_121,n,n,,,,{},{},,,,hydrothermal,10.1016/0022-4596(86)90047-2,1986,,TRUE
Al-Au-O,mp-16613,[95663],AlAuO2,0.012319295,P6_3/mmc,?,?,,,,{},{},,,,,10.1016/S1293-2558(02)01363-8,2002,modelling of delafossites AlAuO2,FALSE
Al-Bi-O,mp-23426,"[251938, 88775, 20069, 236561, 26807, 200051]",Al4Bi2O9,0,Pbam,y,y,1273,AP,,{},{},1,,"Al2O3, Bi2O3",,10.1016/0022-1902(77)80005-5,1977,,TRUE
Al-Bi-O,mp-23080,"[157549, 158756]",AlBiO3,0.121609234,Pm-3m,y,?,,,,{},{},,,,,10.1016/j.physb.2009.05.052,2009,modelling of cubic AlAuO2,FALSE
Al-Bi-O,mp-551918,"[171708, 185508]",AlBiO3,0.053375629,R3c,y,y,1273,6,,{},"{""step1"": {""cool rate"": [], ""cool time"": [], ""cool medium"": [], ""cool type"": [""quench""], ""end temperature"": [""RT""], ""remark"": []}}",1,,"Bi2O3, Al2O3",,10.1021/cm052020b,2006,high pressure removed Bi2O2CO3,FALSE
Al-Cd-O,mp-36866,[183382],Al2CdO4,0.024201194,Fd-3m,y,?,,,,{},{},,,,,10.1016/j.materresbull.2011.09.002,2011,"modelling of cubic spinel Al2CdO4; only found papers on R-3 instead, which can be synthesized via solid state synthsis : 10.1039/C7RA01623A",FALSE
Al-Cd-O,mp-1190488,[196417],Al4CdO7,0,C2/c,y,y,1223,AP,,"{""step1"": {""grind method"": [""ball milling""], ""wet/dry"": [], ""liquid"": [""water""]}}","{""step1"": {""cool rate"": [], ""cool time"": [], ""cool medium"": [""air""], ""cool type"": [""air cool""], ""end temperature"": [""RT""], ""remark"": []}}",1,,"CdO, Al2O3",,10.1021/acs.est.5b02072,2015,,FALSE
Al-Co-O,mp-36447,[290133],Al2CoO4,0.021735826,Fd-3m,y,y,1473,AP,,{},{},1,,"Al2O3, Co2SiO4",,10.1016/0022-3697(70)90198-8,1970,excess Al2O3,FALSE
Al-Cr-O,mp-1205208,[200059],Al2Cr4O19,0.384254736,P2/c,?,?,,,,{},{},,,,,,,ICSD 200059 contain hydrogen,N/A
Al-Cu-O,mp-27719,[24491],Al2CuO4,0.062960076,Fd-3m,y,y,1223,AP,,{},{},1,,"Al2O3, CuO",,10.1016/0022-4596(85)90156-2,1985,,FALSE
Al-Cu-O,mp-29225,[100355],Al4Cu2O7,0.417001938,F-43m,n,n,,,,{},{},,,"CuO, Al2O3, PbO",flux,10.1007/BF00906242,1981,,TRUE
Al-Cu-O,mp-3748,"[188313, 60844, 25593, 31701, 32635, 32634, 32632, 32630, 32631, 32633]",AlCuO2,0,R-3m,y,y,1373,AP,,"{""step1"": {""grind method"": [""ball milling""], ""wet/dry"": [], ""liquid"": [""methanol""]}}",{},1,,"Al2O3, Cu2O, CuO",,10.1016/0022-4596(81)90377-7,1981,,FALSE
Al-Cu-O,mp-3098,"[60845, 31368, 95661]",AlCuO2,8.24E-05,P6_3/mmc,y,n,,,,{},{},,,"Al2O3, Cu2O, PbO",flux,10.1524/zkri.1983.165.14.313,1983,ICSD 31368 doi not working,FALSE
Al-Fe-O,mp-30084,"[252227, 187920, 185610, 56117]",Al2FeO4,0,Fd-3m,y,y,1323,0,vacuum,{},{},2,,"Fe, Fe2O3, Al2O3",,pubs.geoscienceworld.org/msa/ammin/article/69/9-10/937/41640/X-ray-powder-diffraction-profile-refinement-of,1984,,FALSE
Al-Fe-O,mp-505623,[76977],AlFe2O4,0.057065467,Fd-3m,?,?,,,,{},{},,,,,10.1063/1.1746464,1947,other refinement of mp-30084,FALSE
Al-Fe-O,mp-21216,"[203203, 203202]",AlFeO3,0.043970272,Pna2_1,y,y,1673,AP,,"{""step1"": {""grind method"": [""ball milling""], ""wet/dry"": [], ""liquid"": []}}",{},2,,"Fe2O3, Al2O3",,10.1021/ic201235h,2011,,FALSE
Al-Ge-O,mp-28499,[41110],Al10Ge2O19,0.039237228,Cmc2_1,n,n,,,,{},{},,,,coprecipitation ,10.1016/0022-4596(91)90139-9,1991,ICSD 41110 not found,FALSE
Al-Ge-O,mp-9751,[201750],Al2Ge2O7,0,C2/c,?,?,,,,{},{},,,,,10.1016/0022-4596(86)90256-2,1986,insufficient information: no synthesis information,FALSE
Al-Ge-O,mp-1197018,"[402727, 83816]",Al2GeO6,0.178574371,Pnma,?,?,,,,{},{},,,,,,,"ICSD 402727, 83816 contain hydrogen",N/A
Al-Mo-O,mp-19521,[80448],Al2Mo3O12,0,Pbcn,y,y,,,,{},{},,,"Al2O3, MoO3",,10.1016/0025-5408(95)00157-3,1995,beta phase; high temperature phase of mp-559796,FALSE
Al-Mo-O,mp-559796,[202658],Al2Mo3O12,0.000890383,P2_1/c,y,y,973,AP,,{},"{""step1"": {""cool rate"": [], ""cool time"": [{""value"": ""4"", ""unit"": ""hour""}], ""cool medium"": [], ""cool type"": [], ""end temperature"": [""RT""], ""remark"": []}}",1,,"Al2O3, MoO3",,10.1016/0022-4596(88)90226-5,1988,,FALSE
Al-Ni-O,mp-688785,[608815],Al2NiO4,0.023635769,Fd-3m,y,y,1673,AP,,"{""step1"": {""grind method"": [""agate mortar""], ""wet/dry"": [], ""liquid"": [""acetone""]}}","{""step1"": {""cool rate"": [], ""cool time"": [], ""cool medium"": [], ""cool type"": [""quench""], ""end temperature"": [""RT""], ""remark"": []}}",2,,"Al2O3, NiO",,10.1016/j.jssc.2009.10.001,2009,,FALSE
Al-Pb-O,mp-21892,"[33532, 80128]",Al2PbO4,0,Ama2,y,y,1223,AP,,"{""step1"": {""grind method"": [""ball milling""], ""wet/dry"": [], ""liquid"": [""water slurry""]}}","{""step1"": {""cool rate"": [], ""cool time"": [], ""cool medium"": [""air""], ""cool type"": [""quench""], ""end temperature"": [""RT""], ""remark"": []}}",1,,"PbO, Al2O3",,10.1016/j.watres.2011.07.015,2011,,FALSE
Al-Pb-O,mp-13875,[24393],Al8Pb9O21,0,Pa-3,?,?,1023,AP,,{},{},,,"PbO, Al2O3",minority phase,10.1016/j.watres.2011.07.015,2011,minority phase of Al2PbO4 solid state synthesis,FALSE
Al-Se-O,mp-1203225,[67478],Al2Se3O12,0.471299913,R3c,?,?,,,,{},{},,,,,,,ICSD 67478 contain hydrogen,N/A
Al-V-O,mp-19456,[60413],AlV2O4,0.057969904,Fd-3m,y,y,1373,0,vacuum,{},{},1,,"Al, V2O3, V2O5",,10.1063/1.3606348,2011,,FALSE
Al-V-O,mp-18827,"[55870, 165903, 171439, 154912, 153024]",AlVO4,0,P-1,y,y,923,AP,,{},{},1,,"Al2O3, V2O5",,10.1111/j.1151-2916.1987.tb05725.x,1987,,FALSE
Al-W-O,mp-542093,[56827],Al2W3O12,0.055665345,P2_1/c,y,y,,,,{},{},,,,,10.1006/jssc.1993.1193,1993,low temperature phase of mp-19516,FALSE
Al-W-O,mp-19516,"[90936, 90937, 73878, 2134, 164491, 36069]",Al2W3O12,0.055567373,Pbcn,y,y,1273,AP,,{},{},3,,"Al2O3·H2O, WO3",,10.1088/0953-8984/17/27/004,2005,,FALSE
Al-W-O,mp-1182999,[73879],Al2W3O12,0.057682758,P2_1,y,?,,,,{},{},,,,,10.1006/jssc.1993.1193,1993,other refinement of mp-542093,FALSE
Al-W-O,mp-561337,[173647],Al2W5O16,0.175118832,I4/mmm,?,?,,,,{},{},,,,,10.1016/j.jssc.2008.06.013,2008,minority phase,FALSE
Al-W-O,mp-1182867,[4164],AlWO4,0,Cmmm,y,y,1123,4,,{},{},1,,"Al2O3, WO2, WO3",,10.1016/0022-4596(75)90004-3,1975,,TRUE
Al-Zn-O,mp-2908,"[196109, 94166, 290666, 94178, 94163, 94182, 94181, 185609, 24494, 94170, 181312, 94156, 94175, 94157, 94165, 290016, 94174, 94169, 94180, 94176, 94168, 94173, 94162, 94159, 187878, 290967, 26856, 94183, 94155, 94167, 94177, 94164, 94158, 94179, 163268, 94172, 94161, 609005, 94171, 56118, 185709, 94160, 164210, 26849]",Al2ZnO4,0,Fd-3m,y,y,1473,AP,,{},{},1,,"ZnO, Al2O3",,10.1007/BF00211850,1994,excess ZnO,FALSE
As-Au-O,mp-1095378,"[195290, 195289]",AsAuO4,0,C2/c,?,?,,,,{},{},,,,,core.ac.uk/download/pdf/56341894.pdf,2009,translation issue: only found in original paper with 300+ pages and in german,FALSE
As-Pb-O,mp-505465,[100229],As2Pb2O5,0,P2_1/c,n,n,,,,{},{},,,"NaOH, As2O3, Pb(NO3)2",wet synthesis,10.1002/jrs.2973,2011,,FALSE
As-Pb-O,mp-505368,[200414],As2Pb3O8,0,P2_1/c,n,n,,,,{},{},,,,from melt,10.1080/01411598908206836,1989,ICSD 200414 doi not working,FALSE
As-Pb-O,mp-31107,[99432],As2Pb8O13,0,C2/m,y,y,1173,AP,,{},"{""step1"": {""cool rate"": [], ""cool time"": [], ""cool medium"": [], ""cool type"": [""furnace cool""], ""end temperature"": [""RT""], ""remark"": []}}",1,,"PbO, As2O5·5H2O",,10.1016/j.jssc.2003.11.005,2004,,FALSE
As-Pb-O,mp-28537,[65027],As2PbO4,0,P2_1/c,n,n,,,,{},{},,,"PbO, As2O5",hydrothermal,10.1002/jrs.2973,2011,,FALSE
As-Pb-O,mp-20015,[81063],As2PbO6,0,P-31m,n,n,,,,{},{},,,"Pb(C2H3O2)4, H3AsO4",reflux,10.1021/j100034a042,1995,,FALSE
As-Pd-O,mp-6915,"[195298, 187098, 245119, 187099]",As2PdO6,0.03856322,P-31m,y,y,973,0,vacuum,{},{},1,,"PdO, As2O5",,10.1103/PhysRevB.85.115118,2012,,FALSE
As-W-O,mp-504532,[15020],As2W2O11,0.027178208,Pnma,y,y,873,0,vacuum,{},{},1,,"As2O5, WO3",,10.3891/acta.chem.scand.25-1429,1971,inhomogeneous,FALSE
Au-Se-O,mp-28095,[37009],Au2Se2O7,0.000791887,Pba2,n,n,,,,{},{},,,"Au, H2SeO4",hydrothermal,10.1515/znb-1983-0104,1982,,TRUE
Au-Se-O,mp-559824,[170260],Au2Se3O10,0,Cmc2_1,n,n,,,,{},{},,,"Au, H2SeO4",hydrothermal,10.1021/ic049270z,2004,,FALSE
Au-Se-O,mp-27441,[15495],Au2Se4O11,0,C2/c,n,n,,,,{},{},,,"Au, H2SeO4",hydrothermal,10.1515/znb-1981-0826,1981,,TRUE
Ba-Ag-O,mp-27286,[9288],BaAg6O4,0,Pnna,y,y,773,0.456,O2,{},"{""step1"": {""cool rate"": [{""value"": ""5"", ""unit"": ""C/h""}], ""cool time"": [], ""cool medium"": [], ""cool type"": [], ""end temperature"": [""RT""], ""remark"": []}}",1,,"BaO2, Ag2O",,10.1515/znb-1973-5-608,1973,,TRUE
Ba-Al-O,mp-679951,[401792],Ba17Al3O7,0.099575669,P4_2/ncm,n,n,,,,{},{},,,"Al2O3, Ba",reduction from melt,10.1002/anie.199521151,1995,,FALSE
Ba-Al-O,mp-1204798,[26195],Ba3Al2O12,0.401112393,Ia-3d,?,?,,,,{},{},,,,,,,ICSD 26195 contain hydrogen,N/A
Ba-Al-O,mp-560978,[150769],Ba4Al2O7,0,Cmce,n,n,,,,{},{},,,"Ba(NO3)2, Al(NO3)3·9H2O, Eu2O3, Dy2O3, NH2CONH2",combustion,10.1016/j.jlumin.2012.01.031,2012,doped with Dy and Eu,FALSE
Ba-Al-O,mp-667379,[81999],Ba7Al64O103,0,P-62m,?,?,,,,{},{},,,,,10.1006/jssc.1996.0039,1996,modelling of nonstoichiometrc BaAl12O19,FALSE
Ba-Al-O,mp-4202,"[291360, 291356, 75426, 246027, 10036]",BaAl2O4,0,P6_3,y,y,1873,,H2/N2,"{""step1"": {""grind method"": [""agate mortar""], ""wet/dry"": [], ""liquid"": []}}","{""step1"": {""cool rate"": [{""value"": ""4"", ""unit"": ""C/min""}], ""cool time"": [], ""cool medium"": [], ""cool type"": [], ""end temperature"": [""RT""], ""remark"": []}}",1,,"BaCO3, Al2O3",,10.1021/acsami.5b00445,2015,,FALSE
Ba-Al-O,mp-3828,"[16845, 21080, 75427]",BaAl2O4,0.003651359,P6_322,y,?,,,,{},{},,,,,10.1021/acsami.5b00445,2015,old refinement of mp-3828,FALSE
Ba-Al-O,mp-1196014,[93846],BaAl2O6,0.448832271,Pna2_1,?,?,,,,{},{},,,,,,,ICSD 93846 contain hydrogen,N/A
Ba-Al-O,mp-867936,[14292],BaAl2O6,0.560408072,Pbca,?,?,,,,{},{},,,,,,,ICSD 14292 contain hydrogen,N/A
Ba-Al-O,mp-1190359,[2743],BaAl2O6,0.443514159,Fdd2,?,?,,,,{},{},,,,,,,ICSD 2743 contain hydrogen,N/A
Ba-Al-O,mp-1190674,[2726],BaAl2O8,0.769244404,P-1,?,?,,,,{},{},,,,,,,ICSD 2726 contain hydrogen,N/A
Ba-Al-O,mp-1193237,[33282],BaAl5O9,0.048697476,P6_3/mmc,?,?,,,,{},{},,,,,,,ICSD 33282 contain hydrogen,N/A
Ba-Al-O,mp-1104383,[16015],BaAlO5,0.470050065,P-1,?,?,,,,{},{},,,,,,,ICSD 16015 contain hydrogen,N/A
Ba-As-O,mp-1194732,[429987],Ba2As2O7,0,P-1,y,y,1173,AP,,{},"{""step1"": {""cool rate"": [{""value"": ""20"", ""unit"": ""C/h""}], ""cool time"": [], ""cool medium"": [], ""cool type"": [], ""end temperature"": [{""value"": ""750"", ""unit"": ""C""}], ""remark"": []}, ""step2"": {""cool rate"": [{""value"": ""100"", ""unit"": ""C/h""}], ""cool time"": [], ""cool medium"": [], ""cool type"": [], ""end temperature"": [""RT""], ""remark"": []}}",2,y,"Ba(NO3)2, As2O5",,10.1134/S1063774514070098,2014,,FALSE
Ba-As-O,mp-8300,[33905],Ba4As2O,0,I4/mmm,y,y,1373,,Ar,{},{},3,,"As, BaO",,10.1002/zaac.19915970110,1991,,TRUE
Ba-As-O,mp-1196154,[1230],BaAs4O14,0.32835279,Pmna,?,?,,,,{},{},,,,,,,ICSD 1230 contain hydrogen,N/A
Ba-Au-O,mp-28788,[71673],Ba9Au2O12,0,Pnma,y,y,1073,AP,,{},{},1,,"AuBa, BaO2",,10.1016/0925-8388(92)90466-M,1992,inhomogeneous,TRUE
Ba-Au-O,mp-9297,[80327],BaAu2O4,0,I4_1/a,y,y,923,0.333,O2,{},{},1,,"Au, BaO2",,10.1006/jssc.1995.1340,1995,,TRUE
Ba-Bi-O,mp-28670,[69864],Ba2Bi2O5,0,P2_1/c,n,n,,,,{},{},,,BaBiO3,reduction,10.1016/0022-4596(91)90353-J,1991,,FALSE
Ba-Bi-O,mp-23438,"[81315, 68714, 68715, 172759]",BaBiO3,0.024835834,Fm-3m,y,?,,,,{},{},,,,,,,other refinement of mp-545783: high temperature cubic phase over similar temperature range,N/A
Ba-Bi-O,mp-22942,"[1431, 28163, 1430, 67073, 28162, 61499, 172757, 87326, 28161, 151894]",BaBiO3,0,C2/m,y,y,1123,AP,,{},"{""step1"": {""cool rate"": [], ""cool time"": [], ""cool medium"": [], ""cool type"": [""slow cooling""], ""end temperature"": [""RT""], ""remark"": []}}",2,,"BaCO3, Bi2O3",,10.1016/j.ssc.2004.08.002,2004,,FALSE
Ba-Bi-O,mp-545783,[151896],BaBiO3,0.021138668,Pm-3m,y,y,,,,{},{},,,,,10.1016/j.ssc.2004.08.002,2004,high temperature phase of mp-22942,FALSE
Ba-Bi-O,mp-559051,[172756],BaBiO3,0.000368114,P2_1/c,y,y,,,,{},{},,,,,10.1107/S0108768106018842,2006,low temperature phase of mp-22942,FALSE
Ba-Bi-O,mp-23482,"[151895, 172758, 28166, 28164, 28165]",BaBiO3,0.001337709,R-3,y,y,,,,{},{},,,,,10.1016/j.ssc.2004.08.002,2004,high temperature phase of mp-22942,FALSE
